Medidor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
SM1,6.21,8.12,7.34,6.42,9.36,7.35,12.19,8.18,6.97,7.23,6.99,8.07,7.56,6.73,7.24,9.12,7.03,8.01,7.57,6.99,9.45,8.23,11.01,8.06,9.43,7.23,6.57,6.98,10.47,7.26
SM2,7.19,7.47,8.78,8.12,8.48,9.18,10.23,11.01,7.88,8.18,7.78,9.23,8.33,7.14,7.43,8.78,8.14,9.27,8.33,7.77,8.43,9.37,8.78,10.23,9.17,8.99,9.32,7.74,11.1,8.24
SM3,8.17,8.19,8.23,9.07,8.68,9.01,11.14,12.23,8.79,8.45,8.07,8.99,7.98,8.86,8.24,9.01,8.94,9.43,10.2,8.79,9.41,9.26,10.23,11.14,10.29,9.85,10.27,9.83,10.67,9.23
SM4,7.67,8.23,7.77,8.88,9.14,8.69,10.27,10.88,8.91,8.68,8.19,9.12,8.85,9.17,8.57,8.91,9.07,9.63,9.98,10.13,9.41,9.72,10.06,10.29,10.43,9.06,9.87,8.74,10.29,9.61
